x,y,v,kappa,s
-30.397,73.767,2.89,-0.1774,100.8628
-30.357,73.962,2.599,-1.3066,101.0622
-30.268,74.141,3.026,0.9049,101.2622
-30.213,74.333,3.399,0.0368,101.4617
-30.159,74.526,3.571,-0.3294,101.6617
-30.092,74.714,3.34,-0.5728,101.8613
-30.005,74.893,3.092,-0.7181,102.0607
-29.893,75.059,2.822,1.1087,102.2607
-29.82,75.245,3.219,-0.581,102.4607
-29.725,75.421,3.572,-0.3492,102.6603
-29.619,75.59,3.893,-0.124,102.8602
-29.508,75.757,3.904,-0.0277,103.0602
-29.397,75.922,3.693,-0.6472,103.26
-29.265,76.073,3.841,0.5984,103.46
-29.152,76.237,3.63,-0.5841,103.6597
-29.021,76.387,3.405,-0.1772,103.8583
-28.885,76.532,3.163,0.8827,104.0571
-28.776,76.7,2.926,-1.0312,104.257
-28.635,76.841,3.311,-0.0381,104.457
-28.493,76.982,3.655,0.0102,104.657
-28.351,77.123,3.97,0.0011,104.857
-28.21,77.264,4.261,-0.2936,105.0569
-28.06,77.397,4.534,-0.2708,105.2569
-27.903,77.521,4.477,0.1799,105.4568
-27.751,77.651,4.295,0.0772,105.6567
-27.601,77.783,4.105,-0.27,105.8566
-27.444,77.907,3.905,-0.4488,106.0566
-27.277,78.016,3.695,0.044,106.2566
-27.11,78.127,3.471,-0.3786,106.4566
-26.936,78.224,3.233,-0.041,106.6561
-26.761,78.321,2.976,0.3397,106.8556
-26.594,78.428,2.695,-1.2154,107.0548
-26.404,78.493,2.746,1.1709,107.2548
-26.236,78.6,3.152,-0.5139,107.4543
-26.057,78.688,3.51,-0.218,107.6534
-25.874,78.769,3.837,-0.0091,107.8534
-25.692,78.85,4.138,-0.3833,108.0532
-25.503,78.916,4.418,-0.1412,108.2532
-25.313,78.977,4.675,-0.1288,108.4532
-25.121,79.033,4.501,-0.0827,108.6532
-24.928,79.086,4.32,0.0362,108.8532
-24.735,79.141,4.131,0.0498,109.0532
-24.543,79.197,3.932,-0.319,109.2531
-24.348,79.241,3.723,-0.083,109.4531
-24.152,79.281,3.502,-0.4153,109.6531
-23.954,79.306,3.266,0.259,109.8528
-23.758,79.34,3.012,0.198,110.0519
-23.564,79.382,2.736,-1.1796,110.2503
-23.364,79.378,2.484,1.4303,110.4503
-23.172,79.429,2.926,-0.894,110.6495
-22.974,79.446,2.977,-0.4739,110.8476
-22.774,79.444,2.695,0.0775,111.0476
-22.575,79.446,2.38,1.5582,111.247
-22.385,79.507,2.44,-1.483,111.447
-22.186,79.511,2.887,-0.1387,111.6455
-21.986,79.51,2.998,-0.2095,111.8455
-21.788,79.5,2.721,-1.1927,112.044
-21.596,79.444,2.457,1.4623,112.244
-21.396,79.445,2.905,-0.0077,112.4439
-21.196,79.446,3.292,-0.4046,112.6439
-20.998,79.43,3.636,-0.5602,112.8429
-20.802,79.393,3.58,0.689,113.0425
-20.602,79.382,3.9,-0.4827,113.2425
-20.404,79.353,4.197,0.1416,113.4424
-20.206,79.329,4.007,-0.168,113.6423
-20.009,79.298,3.802,-0.5872,113.8416
-19.816,79.245,3.586,-0.1309,114.0416
-19.625,79.186,3.356,0.7841,114.2416
-19.427,79.158,3.695,-0.1171,114.4413
-19.23,79.125,3.472,-0.7326,114.6413
-19.041,79.065,3.599,-0.6501,114.8391
-18.861,78.981,3.37,0.7772,115.0385
-18.669,78.925,3.709,-0.0381,115.2385
-18.477,78.867,4.02,-0.1367,115.4385
-18.287,78.804,4.259,-0.4545,115.6385
-18.104,78.725,4.067,-0.0942,115.838
-17.923,78.642,3.866,0.2989,116.0376
-17.736,78.57,3.653,-0.6615,116.2373
